model,subject,log_evidence,nll
io_jump_trans,21,105.659584436928,-105.659584436928
io_jump_trans,22,161.974198032419,-161.974198032419
io_jump_trans,23,210.631337507376,-210.631337507376
io_jump_trans,24,175.730002855422,-175.730002855422
io_jump_trans,25,188.025502130002,-188.025502130002
io_jump_trans,26,186.971632673414,-186.971632673414
io_jump_trans,27,172.276988033406,-172.276988033406
io_jump_trans,28,159.665776767476,-159.665776767476
io_jump_trans,29,222.251505290675,-222.251505290675
io_jump_trans,30,154.236854189341,-154.236854189341
io_jump_trans,31,202.064762310594,-202.064762310594
io_jump_trans,32,212.370491268704,-212.370491268704
io_jump_trans,33,117.909741336409,-117.909741336409
io_jump_trans,36,145.96760685956,-145.96760685956
io_jump_trans,37,162.422224308254,-162.422224308254
io_jump_trans,38,165.342522769674,-165.342522769674
io_jump_trans,39,100.174618075637,-100.174618075637
io_jump_trans,41,159.560075037926,-159.560075037926
io_jump_trans,42,124.408245180523,-124.408245180523
io_jump_trans,43,147.367140897431,-147.367140897431
io_jump_trans,44,145.761417132169,-145.761417132169
random,6,175.532537395969,-175.532537395969
random,7,148.564498854049,-148.564498854049
random,8,166.246001488128,-166.246001488128
random,9,162.521294413901,-162.521294413901
random,10,164.032878300607,-164.032878300607
random,11,178.791460892907,-178.791460892907
random,13,134.810733708123,-134.810733708123
random,14,185.9659909184,-185.9659909184
random,15,156.344266003111,-156.344266003111
random,16,178.73199444264,-178.73199444264
random,17,178.278654289571,-178.278654289571
random,18,185.246167021761,-185.246167021761
random,19,170.708742692462,-170.708742692462
random,20,202.585969794536,-202.585969794536
random,21,104.548946372945,-104.548946372945
random,22,150.555703185782,-150.555703185782
random,23,209.558240637906,-209.558240637906
random,24,174.562153781136,-174.562153781136
random,25,175.87913352273,-175.87913352273
random,26,185.443021065508,-185.443021065508
random,27,173.318806398815,-173.318806398815
random,28,155.685947899024,-155.685947899024
random,29,217.910408771664,-217.910408771664
random,30,141.357589417938,-141.357589417938
random,31,204.774826535443,-204.774826535443
random,32,213.811676404073,-213.811676404073
random,33,128.925125645178,-128.925125645178
random,36,148.801970489935,-148.801970489935
random,37,164.366145910564,-164.366145910564
random,38,157.196908176624,-157.196908176624
random,39,100.969801078022,-100.969801078022
random,41,163.846061130614,-163.846061130614
random,42,142.81211943157,-142.81211943157
random,43,148.415331709374,-148.415331709374
random,44,132.484641468023,-132.484641468023
rw,6,176.454353589979,-176.454353589979
rw,7,142.668283425047,-142.668283425047
rw,8,172.542822733235,-172.542822733235
rw,9,171.034025439835,-171.034025439835
rw,10,160.905294680585,-160.905294680585
rw,11,201.587640533712,-201.587640533712
rw,13,141.233305251734,-141.233305251734
rw,14,178.912597351427,-178.912597351427
rw,15,156.283284644002,-156.283284644002
rw,16,177.268786078792,-177.268786078792
rw,17,181.421139552564,-181.421139552564
rw,18,187.412227646568,-187.412227646568
rw,19,164.183981387071,-164.183981387071
rw,20,202.414692057506,-202.414692057506
rw,21,102.084745292392,-102.084745292392
rw,22,161.517089941102,-161.517089941102
rw,23,209.608224757987,-209.608224757987
rw,24,175.706903443163,-175.706903443163
rw,25,185.352746722075,-185.352746722075
rw,26,188.084687606852,-188.084687606852
